INFO 2024-07-14 12:56:58,379 Watching for file changes with StatReloader
INFO 2024-07-14 12:59:44,308 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 414
INFO 2024-07-14 12:59:44,497 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 339
ERROR 2024-07-14 12:59:44,515 Internal Server Error: /api/v1/users/orl/cldinst
Traceback (most recent call last):
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/django/core/handlers/exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/django/core/handlers/base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/django/views/decorators/csrf.py", line 56, in wrapper_view
    return view_func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/django/views/generic/base.py", line 104, in view
    return self.dispatch(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/rest_framework/views.py", line 509, in dispatch
    response = self.handle_exception(exc)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/rest_framework/views.py", line 469, in handle_exception
    self.raise_uncaught_exception(exc)
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/rest_framework/views.py", line 480, in raise_uncaught_exception
    raise exc
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/rest_framework/views.py", line 506, in dispatch
    response = handler(request, *args, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/users/views.py", line 382, in put
    t2 = str(rentHours).split(":")[1]
         ~~~~~~~~~~~~~~~~~~~~~~~~~^^^
IndexError: list index out of range
ERROR 2024-07-14 12:59:44,518 "PUT /api/v1/users/orl/cldinst HTTP/1.1" 500 98804
INFO 2024-07-14 12:59:44,542 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 414
INFO 2024-07-14 12:59:46,275 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 339
INFO 2024-07-14 12:59:46,309 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 414
INFO 2024-07-14 12:59:47,530 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 339
ERROR 2024-07-14 12:59:47,543 Internal Server Error: /api/v1/users/orl/cldinst
Traceback (most recent call last):
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/django/core/handlers/exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/django/core/handlers/base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/django/views/decorators/csrf.py", line 56, in wrapper_view
    return view_func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/django/views/generic/base.py", line 104, in view
    return self.dispatch(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/rest_framework/views.py", line 509, in dispatch
    response = self.handle_exception(exc)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/rest_framework/views.py", line 469, in handle_exception
    self.raise_uncaught_exception(exc)
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/rest_framework/views.py", line 480, in raise_uncaught_exception
    raise exc
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/rest_framework/views.py", line 506, in dispatch
    response = handler(request, *args, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/users/views.py", line 382, in put
    t2 = str(rentHours).split(":")[1]
         ~~~~~~~~~~~~~~~~~~~~~~~~~^^^
IndexError: list index out of range
ERROR 2024-07-14 12:59:47,544 "PUT /api/v1/users/orl/cldinst HTTP/1.1" 500 98804
INFO 2024-07-14 12:59:47,573 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 414
INFO 2024-07-14 12:59:48,276 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 339
INFO 2024-07-14 12:59:48,303 "POST /api/v1/lab/userinst/15 HTTP/1.1" 200 414
INFO 2024-07-14 12:59:49,022 "GET /api/v1/lab/userinst/15 HTTP/1.1" 200 339
ERROR 2024-07-14 12:59:49,035 Internal Server Error: /api/v1/users/orl/cldinst
Traceback (most recent call last):
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/django/core/handlers/exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "/home/vimal/Videos/workspace/vimalonrequest/onrequestlab-backend/onrequestlab/myenv/lib/python3.11/site-packages/django/core/handlers/base.py", line 197, in _get_response
